id,batch,batch__name,employer_name,employer_logo_url,number,gross_total,job_title
4830,25,Dec 16-31 2021 Network Fees,Stanley Black & Decker (141),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/13/d2/13d2b0e8048908e5f39501150d6d7675.png,141-249,352.0,Sr. Software Engineer- Full Stack - 6 month contract to hire
4829,25,Dec 16-31 2021 Network Fees,Freedom Financial Network (439),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/fa/44/fa44a5075f2e7b39f2a9e9552dfa75e6.png,439-45,1144.0,Software Engineer- Full Stack node.js/React
4828,25,Dec 16-31 2021 Network Fees,Twitter (452),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/cb/53/cb530b2cfbcae799db729aa2546edd63.png,452-17,1344.0,Sr. Product Designer
4827,25,Dec 16-31 2021 Network Fees,ReconnectCare (547),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/d8/29/d82967af5b3148340a29fcadac189df9.png,547-6,264.0,Senior Software Engineer - Ruby on Rails
4826,25,Dec 16-31 2021 Network Fees,Snowcrash (605),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/0f/5e/0f5e4a15d70bab422182ce9a2f2ad133.png,605-9,280.0,Product Designer
4825,25,Dec 16-31 2021 Network Fees,Domino Data Lab (317),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/ba/31/ba31b4a7f7ae6986b7c0fab2e7248d4c.png,317-115,216.0,Growth Team Technical Onboarding Director
4824,25,Dec 16-31 2021 Network Fees,Stanley Black & Decker (141),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/13/d2/13d2b0e8048908e5f39501150d6d7675.png,141-254,1344.0,QA Engineer
4823,25,Dec 16-31 2021 Network Fees,Pacific Western Bank (153),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/3c/cf/3ccfaf275537ebbe608c58caa28439c5.png,153-29,400.0,Sr. Digital Products and Services Designer
4822,25,Dec 16-31 2021 Network Fees,Freedom Financial Network (439),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/fa/44/fa44a5075f2e7b39f2a9e9552dfa75e6.png,439-55,517.5,Senior UX Designer
4821,25,Dec 16-31 2021 Network Fees,Teladoc (292),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/22/ac/22ac988f1b4664a8d6b1d01d6c2689ea.png,292-45,1792.0,"""Senior Product Designer, Provider Experience"""
4820,25,Dec 16-31 2021 Network Fees,Porsche Digital Inc. (81),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/b3/4c/b34c015324c5a3b52783bb69675d4640.png,81-121,1596.0,"""Listing Editor - Remote, US-Based"""
4819,25,Dec 16-31 2021 Network Fees,Atlassian Inc. (238),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/55/e6/55e64422bc0a7ffe8d450716d94c544f.png,238-44,690.0,Senior Full Stack Web Developer
4818,25,Dec 16-31 2021 Network Fees,"AutoList, Inc (180)",https://d1m1s6un1a8qgj.cloudfront.net/media/cache/1f/df/1fdf324eb30a226a6d78a96702e0f575.png,180-39,510.0,Front-End Developer
4817,25,Dec 16-31 2021 Network Fees,Stanley Black & Decker (141),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/13/d2/13d2b0e8048908e5f39501150d6d7675.png,141-253,640.0,Front End Developer
4816,25,Dec 16-31 2021 Network Fees,Etsy (399),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/48/1a/481afada2f1860c44520769a169d2a77.png,399-21,216.0,"""Senior Product Designer, Seller Standards - Etsy (20hr/week, 3 month Contract)"""
4815,25,Dec 16-31 2021 Network Fees,"Compass, Inc. (231)",https://d1m1s6un1a8qgj.cloudfront.net/media/cache/10/fa/10fa3e35aa7446a4aa51fad53d27de51.png,231-202,500.0,"""Sr. Product Designer, Sell Side"""
4814,25,Dec 16-31 2021 Network Fees,Software Habit Inc. (596),https://d1m1s6un1a8qgj.cloudfront.net/static/default-avatar-squared.png,596-11,810.0,Senior Front-end Engineer
4813,25,Dec 16-31 2021 Network Fees,B2B Wave (215),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/10/3c/103c2bc84c2a78ceaf8d6053dd780928.png,215-41,62.25,React Native Developer (Android & iOS)
4812,25,Dec 16-31 2021 Network Fees,LexGo (304),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/a5/0c/a50c837e2c583455dee51318b12f1368.png,304-17,78.75,Senior Product Designer
4811,25,Dec 16-31 2021 Network Fees,Guardian Life (282),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/b3/a2/b3a205588c5a2ffc2c6bc0890526e43a.png,282-142,101.25,Design and Product Owner
4810,25,Dec 16-31 2021 Network Fees,Medable (262),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/58/08/58082f30358b3efc181a455b33184db7.png,262-104,800.0,Sr. Interaction Designer
4809,25,Dec 16-31 2021 Network Fees,Sifchain (187),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/c3/61/c361cc8e90ae3b56b30eb8242dfdd646.png,187-205,420.0,Software Engineer (Test Focus)
4808,25,Dec 16-31 2021 Network Fees,Stanley Black & Decker (141),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/13/d2/13d2b0e8048908e5f39501150d6d7675.png,141-252,360.0,QA Engineer
4807,25,Dec 16-31 2021 Network Fees,Goldman Sachs - Marcus (321),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/ae/bb/aebb5a22021f32aed1b64194ec43cf96.png,321-23,192.0,Marcus: Cards Engineering - Apple Card (W2 & Benefits provided)
4806,25,Dec 16-31 2021 Network Fees,Stanley Black & Decker (141),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/13/d2/13d2b0e8048908e5f39501150d6d7675.png,141-251,792.0,Android Engineer
4805,25,Dec 16-31 2021 Network Fees,Melechain (643),https://d1m1s6un1a8qgj.cloudfront.net/static/default-avatar-squared.png,643-3,285.8,Principal Architect
4804,25,Dec 16-31 2021 Network Fees,Goldman Sachs - Marcus (321),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/ae/bb/aebb5a22021f32aed1b64194ec43cf96.png,321-22,2323.2,iOS Developer Marcus Banking - Swift (Multiple Positions)
4803,25,Dec 16-31 2021 Network Fees,Harmonic Financial Technology (529),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/6b/db/6bdbe9f282d5238b60fbe2f337aa4d0f.png,529-3,816.0,Data Warehouse Architect
4802,25,Dec 16-31 2021 Network Fees,Jackson Family Wines (351),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/14/69/1469a97b97b20026b7b928f8ec8d0de9.png,351-76,323.0,"""Full Stack Web Developer - Drupal, PHP, JavaScript"""
4801,25,Dec 16-31 2021 Network Fees,Pendo.io (273),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/4e/82/4e825de1aa99dbb68decc7db7999a7fe.png,273-28,231.0,Sr User Researcher
4800,25,Dec 16-31 2021 Network Fees,Vatom Ventures (675),https://d1m1s6un1a8qgj.cloudfront.net/static/default-avatar-squared.png,675-1,660.0,Infrastructure as Code Engineer
4799,25,Dec 16-31 2021 Network Fees,Hanu Health (655),https://d1m1s6un1a8qgj.cloudfront.net/static/default-avatar-squared.png,655-1,938.3,Sr. React Native Developer
4798,25,Dec 16-31 2021 Network Fees,TELLab (650),https://d1m1s6un1a8qgj.cloudfront.net/static/default-avatar-squared.png,650-2,600.0,Front End Web Developer
4797,25,Dec 16-31 2021 Network Fees,DataCamp (551),https://d1m1s6un1a8qgj.cloudfront.net/media/cache/fa/f8/faf8adff8ccdb5fe63f970476595ee6e.png,551-14,288.0,Full Stack software engineer (Typescript) - Enterprise
